"login","rater","latest_login","self_assessment","rating","comment"
"hsu08130801","jiji","2011-05-12 03:59 PM","Advanced","IM3","Your voice is a little bit husky making some words a little bit unclear. Open your mouth when you speak so that you will be able to pronounce words correctly. You know how to construct sentences just be aware of the proper usage of conjunction like \"and\" because sometimes you redundantly use it in a sentence. You are able to create long responses. Basically, you are able to sustain what is needed. Know more expression so that you will not sound monotonous all the time."
"hsu06330901","jamel","2011-05-12 02:52 PM","Novice","NH","The best thing that you have made during the test is giving such an impressive response.  You are able to propose a concise answer to the given questions.  In other words, you are able to hit the main tasks most of the time.  For Pronunciation, Vocabulary and Grammar fields, you have just minimal concerns for them.  You just need to review more and do more practice and activities which will help you to enhance more your skills for those above mentioned fields.  However, to sum it up!!! You have made a satisfactory performance."
"hsu03351411","jamel","2011-05-12 02:48 PM","Novice","NM","You have a problem with your sentence construction.  You have a difficulty on putting your thoughts and ideas into words.  It would be good if you try to review the sentence pattern so that you would have a guide on how to arrange the words in your sentences.  Sometimes, it is difficult to figure out what you really want to mean since your words are not arranged properly.  There is also a need for you to enhance your comprehension skill."
"hsu06940541","jamel","2011-05-12 02:44 PM","IntermediateHigh","IM1","Grammar lapses are observable. You have to know the proper usage of all parts of speech so that you do not find it difficulty in delivering your responses.  ?	Have more patience in studying and learning more words to enrich your word bank. I know that you have already many words in your mind but you can't use them in proper way. Try to familiarize words for you to elaborate your answer accurately."
"hsu05920522","jamel","2011-05-12 02:32 PM","Novice","NM","Even for those Novice tasks, it is a bit hard for you to respond to those questions.  You need to enhance your comprehension skill so that you can understand more the given questions.  However, the good thing in you is that, you try your best to construct complete sentences."
"hsu05920592","jamel","2011-05-12 02:18 PM","Intermediate","IM2","You do not answers some of the questions. This clearly affects your scores. Be sure to respond all the questions so that this can help you to get good grades whenever you take other type of tests. Though the thought was there but you still have to organize your sentences and ideas well. You were able to give your expression in a way that you really tried your best."
"hsu05960341","jiji","2011-05-12 01:53 PM","Intermediate","NM","You need to open your mouth so that you  will be able to pronounce words correctly. Do not mumble the words. Make your voice a little bit louder so that you will not give your listener a hard time hearing or understanding you. Frequent pauses enables you to ran out of time. You are not able to answer some of the questions. Be careful of the proper tenses and forms of the verb. You need to be specific with your  answers as much as possible and you must have supporting details to make your answers complete."
"hsu04120493","jiji","2011-05-12 01:53 PM","Advanced","IH","You are able to pronounce most of the words correctly, just open your mouth when you speak so that you will be able to pronounce words correctly. Basically you are able to compose simple sentences, just be aware of the proper tenses and forms of the verb. Know more vocabulary so that you will be able to express yourself well.You are able to answer all of the questions. You have the intonation just know more so that you will sound more natural and not monotonous all the time."
"hsu07930721","jamel","2011-05-12 01:53 PM","IntermediateHigh","IM1","You can construct your responses directly, however; you are destructed by making pauses most of the time. There is a need for you to restrict yourself from repeating your ideas.  It can bring confusion to the listener.  There are several grammar lapses and the words being use are limited.  It means, you have to learn more English words for a better English construction."
"hsu07350101","jamel","2011-04-07 04:12 PM","IntermediateHigh","NL","Not Enough Responses "
"hsu07540671","helen","2011-04-07 03:50 PM","Intermediate","NH","I was not able to hear you clearly because your voice is very low. It is only you who can hear what you are saying. However, listening to some of your answers, you are bale to answer some of the questions correctly but there are also some questions that your answers are not anymore in the topic. In some questions also, you do not know what to answer or maybe you just find it hard what word to use in your sentences. You are having a hard time expressing your ideas and share what you want to tell. I want you to open your mouth when you speak and also, make your voice a bit louder so that the listener will be able to hear you clearly and will be able to understand you. practice not to mumble the words when you speak."
"hsu08351121","christine","2011-04-07 03:46 PM","Intermediate","NH","The rater could hardly understand some of the ideas you've uttered because you are just murmuring. You have made several inaccuracies while sharing or giving your response. Most of your sentences aren't well constructed. Be careful with the tenses of verbs you are using in your sentence. Some ideas you want to impart is vague. Learning more words and expressions are needed for you to express more sensible ideas and relevant responses as well."
"hsu06950662","helen","2011-04-07 03:44 PM","IntermediateHigh","IL","You can speak english. You are able to explain and answer the questions with the correct answers. You are able to explain what you have i mind and express what you want to answer in the questions. You have a lot of pauses. However, you already know how to speak english it would not be difficult for you to learn and practice more. I want you to practice more. I suggest that you open your mouth a bit wider so that you will be able to pronounce the words correctly and clearly."
"hsu07110862","jamel","2011-04-07 03:44 PM","Superior","IM2","You have constructed good sentences but sometimes, it takes time for you to catch-up the main target of some tasks. There is even a need for you to understand the flow of your ideas.  Making pauses while responding the tasks grabs much of your time, so some questions are not answered completely.  Try to study more English words."
"hsu04321782","jamel","2011-04-07 03:44 PM","IntermediateHigh","IM3","You are really fond of making fillers which destructs the fluency on how you deliver your ideas.There are several grammar lapses and the words being use are limited and they affect your performance.  It means, you have to learn more English words for a better English construction."
"hsu06111021","jiji","2011-04-07 02:41 PM","Advanced","A","You are able to pronounce almost all of the words directly just open your mouth so that you will be able to pronounce words correctly because it will turn out that you are murmuring the words. Just make your voice a little bit louder so that you will not give your listener a hard time understanding you. You are very careful in giving your answers. In fact, you think first about your sentences before saying them which gives her the edge to commit minimal lapses in grammar.  Your intonation is good.  You speak with proper tone in most of the time.  In addition, having that good intonation, your Korean accent is not very obvious.You never fail to follow the scope of the question.Basically, you have sustained the fundamental words in your sentences."
